cls_name,sign_lat,sign_lon
낙석주의,36.59919090829879,126.54001037344464
양보,36.600194472932216,126.54264876691197
우측통과,36.60049740582272,126.54329712672067
우회전금지,36.59897551908964,126.52644703512438
유턴,36.60103341710119,126.54435456312191
직우도로,36.60116791946547,126.54442645034229
횡단보도,36.60118248601985,126.54440608151576
속도60,36.60087489454028,126.54381688936212
속도60,36.59916902189674,126.53930446423644
속도60,36.59893725624588,126.52832935814077
속도60,36.59881404773205,126.53139881115948
속도70,36.59785268577358,126.50748421174336
우측통과,36.60257569540426,126.54689043530796
