cls_name,cluster_id,n_frames,yolo_class_mode,cam_lat,cam_lon,sign_lat,sign_lon,rep_lat,rep_lon,center_x_px,center_y_px,width_px,height_px,area_px2
낙석주의,0,14,triregulation,36.59920857142857,126.54013928571429,36.599207764845566,126.5400328774072,36.599207764845566,126.5400328774072,1275.142857142857,324.57142857142856,56.42857142857143,66.14285714285714,4628.642857142857
비탈길금지,0,5,regulation2,36.59913,126.53921,36.599150815127494,126.53915332202845,36.599150815127494,126.53915332202845,1437.0,256.2,74.2,96.8,7521.0
속도60,0,5,regulation1,36.600880000000004,126.543938,36.600874894540276,126.54381688936212,36.600874894540276,126.54381688936212,1525.0,287.4,36.8,51.8,2000.8
속도60,1,7,regulation1,36.59914,126.53940999999999,36.59916902189674,126.53930446423645,36.59916902189674,126.53930446423645,1334.2857142857142,222.57142857142858,51.42857142857143,56.285714285714285,3183.8571428571427
속도60,2,8,regulation1,36.5989775,126.5282325,36.598937256245875,126.52832935814077,36.598937256245875,126.52832935814077,1455.625,285.5,45.125,58.625,2857.75
속도60,3,7,regulation1,36.59885142857143,126.53127428571428,36.59881404773205,126.53139881115949,36.59881404773205,126.53139881115949,1241.857142857143,375.2857142857143,41.57142857142857,48.285714285714285,2261.1428571428573
속도70,0,6,regulation1,36.597829999999995,126.50748499999997,36.59785268577358,126.50748421174337,36.59785268577358,126.50748421174337,1518.6666666666667,311.6666666666667,78.5,104.16666666666667,8417.666666666666
양보,0,7,triregulation,36.60019142857143,126.54272571428571,36.60016543524074,126.54261766178904,36.60016543524074,126.54261766178904,1246.857142857143,383.57142857142856,52.285714285714285,55.714285714285715,3160.714285714286
우측통과,0,10,cirinsturct,36.602619000000004,126.547,36.60257569540426,126.54689043530797,36.60257569540426,126.54689043530797,637.8,378.6,42.3,51.2,2509.4
우측통과,1,9,cirinsturct,36.600587777777775,126.54342333333332,36.60051152670813,126.54335457228765,36.60051152670813,126.54335457228765,508.1111111111111,418.44444444444446,43.0,58.0,2798.8888888888887
우회전금지,0,5,regulation2,36.59898,126.526642,36.5989572953887,126.52674801704059,36.5989572953887,126.52674801704059,1228.0,355.2,53.6,59.6,3621.2
유턴,0,3,cirinsturct,36.60112,126.54438,36.6010468892299,126.54435390891729,36.6010468892299,126.54435390891729,211.33333333333334,165.66666666666666,35.0,61.333333333333336,2151.3333333333335
좁아지는길,0,13,triregulation,36.60082615384616,126.54384384615386,36.60080701986448,126.54373662190689,36.60080701986448,126.54373662190689,1376.6153846153845,317.3076923076923,48.46153846153846,63.53846153846154,3403.769230769231
직우도로,0,10,cirinsturct,36.601252,126.54460000000002,36.60121904950312,126.5444867314624,36.60121904950312,126.5444867314624,1190.0,388.3,50.1,55.1,3272.9
