tmutc,lon,lat,filename
2024-08-02 4:12,126.54269,36.60015,20240802_041251_DR9E90247_0232_original
2024-08-02 4:12,126.54269,36.60015,20240802_041251_DR9E90247_0236_original
2024-08-02 7:14,126.54256,36.60007,20240802_041251_DR9E90247_0239_original
2024-10-08 2:32,126.54256,36.60007,20240802_041251_DR9E90247_0242_original
2024-10-08 2:32,126.54256,36.60007,20240802_041251_DR9E90247_0248_original
2024-10-08 2:32,126.54256,36.60007,20240802_041251_DR9E90247_0251_original
2024-10-08 2:32,126.54256,36.60007,20240802_041251_DR9E90247_0254_original
2024-10-08 2:32,126.54093,36.59936,20240802_041251_DR9E90247_0548_original
2024-10-08 2:33,126.54093,36.59936,20240802_041251_DR9E90247_0552_original
2024-10-08 2:33,126.54093,36.59936,20240802_041251_DR9E90247_0555_original
2024-10-08 2:33,126.54093,36.59936,20240802_041251_DR9E90247_0559_original
2024-10-08 2:33,126.54093,36.59936,20240802_041251_DR9E90247_0563_original
2024-10-08 2:33,126.54093,36.59936,20240802_041251_DR9E90247_0567_original
2024-10-08 2:33,126.54074,36.5993,20240802_041251_DR9E90247_0570_original
2024-10-08 2:33,126.54036,36.59922,20240802_041251_DR9E90247_0641_original
2024-10-08 2:33,126.54036,36.59922,20240802_041251_DR9E90247_0645_original
2024-10-08 2:33,126.54036,36.59922,20240802_041251_DR9E90247_0649_original
2024-10-08 2:33,126.54036,36.59922,20240802_041251_DR9E90247_0653_original
2024-10-08 2:33,126.54036,36.59922,20240802_041251_DR9E90247_0656_original
2024-10-08 2:33,126.54016,36.59919,20240802_041251_DR9E90247_0660_original
2024-10-08 2:33,126.54016,36.59919,20240802_041251_DR9E90247_0664_original
2024-10-08 2:33,126.54016,36.59919,20240802_041251_DR9E90247_0668_original
2024-10-08 2:33,126.54016,36.59919,20240802_041251_DR9E90247_0671_original
2024-10-08 2:33,126.54016,36.59919,20240802_041251_DR9E90247_0675_original
2024-10-08 2:33,126.54016,36.59919,20240802_041251_DR9E90247_0679_original
2024-10-08 2:33,126.54016,36.59919,20240802_041251_DR9E90247_0683_original
2024-10-08 2:33,126.54016,36.59919,20240802_041251_DR9E90247_0687_original
2024-10-08 2:33,126.53996,36.59916,20240802_041251_DR9E90247_0691_original
2024-10-08 2:33,126.53996,36.59916,20240802_041251_DR9E90247_0694_original
2024-10-08 2:33,126.53996,36.59916,20240802_041251_DR9E90247_0698_original
2024-10-08 2:33,126.53996,36.59916,20240802_041251_DR9E90247_0701_original
2024-10-08 2:33,126.53978,36.59913,20240802_041251_DR9E90247_0731_original
2024-10-08 2:33,126.53978,36.59913,20240802_041251_DR9E90247_0735_original
2024-10-08 2:33,126.53978,36.59913,20240802_041251_DR9E90247_0739_original
2024-10-08 2:33,126.53978,36.59913,20240802_041251_DR9E90247_0743_original
2024-10-08 2:33,126.53978,36.59913,20240802_041251_DR9E90247_0747_original
2024-10-08 2:33,126.53958,36.59911,20240802_041251_DR9E90247_0750_original
2024-10-08 2:33,126.53958,36.59911,20240802_041251_DR9E90247_0755_original
2024-10-08 2:33,126.53958,36.59911,20240802_041251_DR9E90247_0758_original
2024-10-08 2:33,126.53958,36.59911,20240802_041251_DR9E90247_0763_original
2024-10-08 2:33,126.53958,36.59911,20240802_041251_DR9E90247_0766_original
2024-10-08 2:33,126.53958,36.59911,20240802_041251_DR9E90247_0770_original
2024-10-08 2:33,126.53958,36.59911,20240802_041251_DR9E90247_0773_original
2024-10-08 2:33,126.53958,36.59911,20240802_041251_DR9E90247_0777_original
2024-10-08 2:33,126.53936,36.5991,20240802_041251_DR9E90247_0781_original
2024-10-08 2:33,126.53936,36.5991,20240802_041251_DR9E90247_0784_original
2024-10-08 2:33,126.53936,36.5991,20240802_041251_DR9E90247_0789_original
2024-10-08 2:33,126.53936,36.5991,20240802_041251_DR9E90247_0793_original
2024-10-08 2:33,126.53936,36.5991,20240802_041251_DR9E90247_0797_original
2024-10-08 2:33,126.53936,36.5991,20240802_041251_DR9E90247_0801_original
2024-10-08 2:33,126.53936,36.5991,20240802_041251_DR9E90247_0804_original
2024-10-08 2:33,126.52588,36.59899,20240802_071350_DR9E90247_1575_original
2024-10-08 2:33,126.52613,36.599,20240802_071350_DR9E90247_1579_original
2024-10-08 2:33,126.52613,36.599,20240802_071350_DR9E90247_1582_original
