index,track_id,image_path_rel,yolo_class,cls_name,cam_lon,cam_lat,sign_lon,sign_lat,center_x_px,center_y_px,width_px,height_px,area_px2
0,0,abcold\20240802_041150_DR9E90247_1593_original.jpg,cirinsturct,직우도로,126.54465,36.60125,126.5444359009901,36.6011795,1068,453,26,25,650
1,0,abcold\20240802_041150_DR9E90247_1597_original.jpg,cirinsturct,직우도로,126.54465,36.60125,126.54445838003228,36.60118803676279,1074,453,27,28,756
2,0,abcold\20240802_041150_DR9E90247_1600_original.jpg,cirinsturct,직우도로,126.54465,36.60125,126.54446445508377,36.60119127213319,1081,451,26,29,754
3,0,abcold\20240802_041150_DR9E90247_1603_original.jpg,cirinsturct,직우도로,126.54465,36.60125,126.54448146838199,36.60119763880545,1087,449,26,32,832
4,0,abcold\20240802_041150_DR9E90247_1607_original.jpg,cirinsturct,직우도로,126.54465,36.60125,126.54448599845226,36.60120046627474,1096,447,29,33,957
5,0,abcold\20240802_041150_DR9E90247_1611_original.jpg,cirinsturct,직우도로,126.54465,36.60125,126.54450326193815,36.60120693727256,1105,445,31,37,1147
6,0,abcold\20240802_041150_DR9E90247_1614_original.jpg,cirinsturct,직우도로,126.54465,36.60125,126.54449861022447,36.60120699664799,1115,443,32,36,1152
7,0,abcold\20240802_041150_DR9E90247_1619_original.jpg,cirinsturct,직우도로,126.54449,36.60117,126.54435632260098,36.601134132287804,1132,437,36,41,1476
8,0,abcold\20240802_041150_DR9E90247_1622_original.jpg,cirinsturct,직우도로,126.54449,36.60117,126.54436213302208,36.60113685665076,1142,434,40,43,1720
9,0,abcold\20240802_041150_DR9E90247_1625_original.jpg,cirinsturct,직우도로,126.54449,36.60117,126.54437260687398,36.60114083893811,1154,429,45,47,2115
10,0,abcold\20240802_041150_DR9E90247_1630_original.jpg,cirinsturct,직우도로,126.54449,36.60117,126.54438309633477,36.601145983559306,1181,423,48,52,2496
11,0,abcold\20240802_041150_DR9E90247_1633_original.jpg,cirinsturct,직우도로,126.54449,36.60117,126.5443884454007,36.60114883835476,1200,420,55,55,3025
12,1,abcold\20240802_041150_DR9E90247_1633_original.jpg,triinstruct,횡단보도,126.54449,36.60117,126.5443949354673,36.601181393236445,1696,332,42,60,2520
13,0,abcold\20240802_041150_DR9E90247_1638_original.jpg,cirinsturct,직우도로,126.54449,36.60117,126.54440596565004,36.60115534300374,1241,410,61,67,4087
14,1,abcold\20240802_041150_DR9E90247_1638_original.jpg,triinstruct,횡단보도,126.54449,36.60117,126.54441722756424,36.60118357880325,1833,305,49,77,3773
15,0,abcold\20240802_041150_DR9E90247_1641_original.jpg,cirinsturct,직우도로,126.54449,36.60117,126.54441457159396,36.601158704981785,1272,398,70,75,5250
